dbn,school_name,borough,building_code,primary_address_line_1,city,state_code,postcode,Latitude,longitude
17K548,Brooklyn School for Music & Theatre,Brooklyn,K440,883 Classon Avenue,Brooklyn,NY,11225,40.66995,-73.9613
09X543,High School for Violin and Dance,Bronx,X400,1110 Boston Road,Bronx,NY,10456,40.8273,-73.9045
09X327,Comprehensive Model School Project M.S. 327,Bronx,X240,1501 Jerome Avenue,Bronx,NY,10452,40.84281,-73.9164
02M280,Manhattan Early College School for Advertising,Manhattan,M520,411 Pearl Street,New York,NY,10038,40.71103,-74.0013
28Q680,Queens Gateway to Health Sciences Secondary School,Queens,Q695,160-20 Goethals Avenue,Jamaica,NY,11432,40.71842,-73.8059
08X348,Schuylerville Preparatory High School,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84017,-73.8394
14K474,PROGRESS High School for Professional Careers,Brooklyn,K450,850 Grand Street,Brooklyn,NY,11211,40.71188,-73.9403
02M420,High School for Health Professions and Human Services,Manhattan,M475,345 East 15Th Street,New York,NY,10003,40.73268,-73.9826
28Q350,Jamaica Gateway to the Sciences,Queens,Q470,167-01 Gothic Drive,Jamaica,NY,11432,40.71422,-73.798
29Q313,Benjamin Franklin High School for Finance & Information Technology,Queens,Q490,207-01 116th Avenue,Cambria Heights,NY,11411,40.69819,-73.746
12X271,East Bronx Academy for the Future,Bronx,X973,1716 Southern Boulevard,Bronx,NY,10460,40.83684,-73.8877
02M520,Murry Bergtraum High School for Business Careers,Manhattan,M520,411 Pearl Street,New York,NY,10038,40.71103,-74.0013
06M211,Inwood Early College for Health and Information Technologies,Manhattan,M052,650 Academy Street,New York,NY,10002,40.86591,-73.9252
24Q600,Queens Vocational and Technical High School,Queens,Q600,37-02 47 Avenue,Long Island City,NY,11101,40.7419,-73.928
10X368,In-Tech Academy (M.S. / High School 368),Bronx,X368,2975 Tibbett Avenue,Bronx,NY,10463,40.87905,-73.9115
06M348,Washington Heights Expeditionary Learning School,Manhattan,M143,511 West 182Nd Street,New York,NY,10033,40.8491,-73.9311
18K629,Cultural Academy for the Arts and Sciences,Brooklyn,K415,5800 Tilden Avenue,Brooklyn,NY,11203,40.64806,-73.9222
03M299,"High School for Arts, Imagination and Inquiry",Manhattan,M490,122 Amsterdam Avenue,New York,NY,10023,40.7749,-73.9856
07X520,Foreign Language Academy of Global Studies,Bronx,X155,470 Jackson Avenue,Bronx,NY,10455,40.81105,-73.9094
08X312,Millennium Art Academy,Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.82145,-73.8557
08X293,Renaissance High School for Musical Theater & Technology,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84017,-73.8394
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",Brooklyn,K805,49 Flatbush Avenue Extension,Brooklyn,NY,11201,40.69735,-73.9845
31R460,Susan E. Wagner High School,Staten Island,R460,1200 Manor Road,Staten Island,NY,10314,40.59728,-74.1252
28Q328,High School for Community Leadership,Queens,Q470,167-01 Gothic Drive,Jamaica,NY,11432,40.71422,-73.798
05M362,Columbia Secondary School,Manhattan,M125,425 West 123 Street,New York,NY,10027,40.81064,-73.9558
10X243,West Bronx Academy for the Future,Bronx,X435,500 East Fordham Road,Bronx,NY,10458,40.85952,-73.8886
03M307,"Urban Assembly School for Media Studies, The",Manhattan,M490,122 Amsterdam Avenue,New York,NY,10023,40.7749,-73.9856
20K609,Urban Assembly School for Criminal Justice,Brooklyn,K223,4200 16 Avenue,Brooklyn,NY,11204,40.63496,-73.9823
28Q284,York Early College Academy,Queens,Q008,108-35 167 Street,Jamaica,NY,11433,40.69715,-73.7866
21K348,High School of Sports Management,Brooklyn,K400,2630 Benson Avenue,Brooklyn,NY,11214,40.59362,-73.9861
15K463,Secondary School for Journalism,Brooklyn,K460,237 7 Avenue,Brooklyn,NY,11215,40.6693,-73.9787
31R605,Staten Island Technical High School,Staten Island,R440,485 Clawson Street,Staten Island,NY,10306,40.56814,-74.1163
17K543,"Science, Technology and Research Early College High School at Erasmus",Brooklyn,K465,911 Flatbush Avenue,Brooklyn,NY,11226,40.64959,-73.9572
